question,answer_A,answer_B,answer_C,answer_D,answer_E,correct_answers,subject_name
Which of the following statements regarding ammoniogenesis and ureogenesis is true?,Hepatic glutaminase participates in ureogenesis,Ureogenesis takes place exclusively in the cytoplasm of hepatocytes,"During prolonged fasting, ureogenesis is not modified",Renal glutaminases are inhibited during acidosis,Glutaminase is very active in the kidneys,"A, E",pharmacy
Which of the following statements regarding morphine is/are correct?,It is an opium alkaloid,Morphine sulfate is administered orally,Elimination is mainly fecal,Naloxone is the specific antidote,Morphine causes respiratory depression,"A, B, D, E",pharmacy
Which of the following statements is(are) correct? Measuring the water content of a raw material using the Karl Fisher amperometric method:,uses two indicator electrodes,uses the drop of mercury as an indicator electrode,is based on a chemical reaction in a non-aqueous medium,couples a chemical reaction to an electrochemical reaction,uses a silver/silver chloride electrode as a reference electrode,"A, C, D",pharmacy
Which of the following statements about chromatographic methods is correct?,The flame ionization detector is a detector used in liquid chromatography,The gas chromatography column is always placed in a thermostatically controlled oven,The C18 grafted silica stationary phase makes it possible to carry out partition chromatography,The mobile phase used in ion exchange liquid chromatography is a buffered phase.,All detectors used in gas chromatography destroy the substances to be analyzed,"B, C, D",pharmacy
"Among these pharmacokinetic interaction mechanisms, mention the one which, more than all the others, may be responsible for an increased risk of bleeding under vitamin K anti-treatment.",Decreased oral bioavailability of AVK,Enzymatic induction of hepatic AVK metabolism,Decreased hepatic metabolism of AVK,Displacement of AVKs from their plasma protein binding sites,Competition with AVKs at the level of renal tubular transporters,C,pharmacy
Isolated IgA deficiency is an immune deficiency which has the following characteristics:,It is the most common deficiency of humoral immunity.,"It is a chance discovery, in general",It is linked to a defect in the expression of the ligand of the CD4O molecule (CD4OL/CD154),It predisposes to respiratory infections,It is treated with injectable gamma globulins,"A, B, D",pharmacy
"Among the following statements, indicate the correct statement(s). The epidemiological investigations allowing a judgment of causality to be made are:",Exposed/non-exposed surveys,Case/control investigations,Cross-sectional surveys,Ecological surveys,Etiological investigations,"A, B, E",pharmacy
Which of the following apply to the CD4 molecule?,It is the ligand for MHC class I molecules,It defines a subpopulation of T lymphocytes,It is one of the receptors for HIV,It plays a role in the interaction of T lymphocytes with antigen-presenting cells,It is released in soluble form by activated lymphocytes,"B, C, D",pharmacy
Microalbuminuria has several characteristics. Indicate correct answers:,It is characterized by a molecular weight lower than that of albumin,It exists in normal subjects in quantities less than 30 mg/24 h,It is detected by test strips for proteinuria.,It is expressed in mg/L when measured on a urine sample.,It is part of the early detection of diabetic nephropathy,"B, D, E",pharmacy
Which of the following biological changes appear during acute pancreatitis?,Increased SgA pO2,Hypocalcemia,Hyperlipasemia,Hyperglycemia,Serum CRP increase,"B, C, D, E",pharmacy
"Among the following statements, indicate which ones are correct. Hyperuricemia appears during:",Chronic kidney failure,Treatment with high doses of salicylates,Chemotherapy treatment of acute leukemia,Hyperlactacidemia,From malnutrition,"A, C, D",pharmacy
Which of the following statements regarding ionizing radiation is incorrect:,Alpha radiation is highly ionizing but poorly penetrating: it is stopped by skin or a sheet of paper.,Beta radiation is less ionizing but more penetrating than alpha radiation; it is stopped by an aluminum sheet or a plexiglass plate.,"X and gamma radiation are electromagnetic waves, they have indirect ionizing power and are very penetrating: they are stopped by a thickness of lead, steel or concrete.",Internal irradiation is mainly produced by alpha radiation,"The effective period of a radionuclide is calculated by the following formula: Te = (Tp + Tb) / (Tp x Tb) where Te is the effective period, Tp the physical period of the radionuclide and Tb the biological period of the radionuclide",E,pharmacy
"The following medications may cause hypoglycemia except one, which one?",Insulin,Metformin,Aténolol,Methylprednisolone,Glibenclamide,D,pharmacy
Which of the following statements regarding fatty acid and cholesterol metabolism is incorrect:,The biosynthesis of saturated fatty acids takes place in the cytoplasm,The biosynthesis of unsaturated fatty acids takes place in the endoplasmic reticulum,The formation of malonyl-CoA is the rate-limiting step in lipogenesis.,The rate-limiting step in cholesterol synthesis is the formation of mevalonate from 3-HMG CoA.,"Statins inhibit HMG-CoA synthetase, an enzyme regulating cholesterol synthesis.",E,pharmacy
Which of the following statements regarding oral antidiabetics is incorrect:,"Metformin, from the biguanide family, reduces insulin resistance and must be taken with meals.","Lactic acidosis, a serious complication in type 2 diabetics, is observed in patients with renal failure treated with glinides.",Treatment with sulphonylureas is contraindicated with simultaneous use of miconazole.,The use of repaglinide is contraindicated in combination with fibrates and sulfonylureas.,"Liraglutide, a GLP1 analogue, is administered subcutaneously and is never used as monotherapy.",B,pharmacy
Which of the following does not apply to Graves' disease:,Hyperthyroidism,Exophthalmos,Diarrhea,Bradycardia,Thermophobie,D,pharmacy
Which of the following statements about migraines is/are correct:,"It is a throbbing and intense pain, and bilateral",An attack lasts between 4 and 72 hours,"Glutamate, serotonin and norepinephrine are definitely involved in the pathophysiology of migraine","For the treatment of the attack, triptans should be taken from the start of the aura, taking care to respect the maximum doses and the intervals between two doses.",First-line basic treatment uses beta-blockers or tricyclic anti-depressants,"B, E",pharmacy
"Among the following propositions, indicate the anticancer drug(s) belonging to the intercalators:",Mitoxantrone,Procarbazine,Paclitaxel,Mitomycine C,Epirubicine,"A, E",pharmacy
Which of the following is correct? The implementation of a pharmacovigilance system is an obligation in:,Prison establishments,Private health establishments,Retirement homes,Medical-social centers,Public health establishments,"B, E",pharmacy
Which of the following statements regarding vancomycin is correct?,It is absorbed through the digestive tract,It inhibits the synthesis of peptidoglycan,It is active on Pseudomonas aeruginosa,It is in principle active against methicillin-resistant Staphylococcus aureus,It is active against Haemophilus influenzae,"B, D",pharmacy
Which of the following is(are) accompanied by metabolic acidosis?,Aspirin poisoning,Vomiting,Complication of treatment with metformin in chronic renal failure patients,Intoxication barbiturique,Insulin overdose,"A, C",pharmacy
Which of the following statements regarding contraindications for muscarinic receptor antagonists is correct?,Parkinson's disease,Closed-angle glaucoma,Prostate enlargement,Urinary incontinence,Intestinal obstruction,"B, C, E",pharmacy
"Regarding alcohol dehydrogenase, which of these statements is correct?",It is located in the endoplasmic reticulum of hepatocytes,The nicotinamide adenine nucleotide NAD+ is the cofactor,It can be inhibited by pyrazole derivatives,It is an enzyme specific to ethyl alcohol,It catalyzes the oxidation of ethanol to acetaldehyde,"B, C, E",pharmacy
Which of the following statements regarding infections of the digestive tract is correct:,The ETEC strain of E. coli causes dysenteric syndrome,The first-line treatment for pseudomembranous colitis is vancomycin.,Pathogenic strains of E. coli are systematically detected in stools.,The search for S. aureus in the stools during TIAC is contributory to the diagnosis.,The first bacterial etiology of TIAC is salmonella.,E,pharmacy
"Among the pathological situations cited, indicate which one(s) may be associated with hypercalcemia?",Bone metastases,Primary hyperparathyroidism,Chronic kidney failure,Vitamin D overdose,Liver cytolysis,"A, B, D",pharmacy
Which of the following propositions regarding spectral methods are correct?The Beer-Lambert law is verified for a weak acid in UV molecular absorption spectrophotometry if:,The solutions are clear,The incident radiation is polychromatic,Acid absorbs light at 450 nm,The measuring tanks are made of quartz,The concentration is of the order of molarity,"A, D",pharmacy
Which of the following statements regarding benzodiazepines is(are) true?,"At the blood level, they are very weakly bound to plasma proteins",They are not contraindicated in cases of severe respiratory failure,They act by inhibiting the transmission of gamma aminobutyric acid (GABA),Flumazenil is a central benzodiazepine receptor antagonist,They can lead to a state of dependence in the event of prolonged treatment.,"D, E",pharmacy
Which of the following is correct?The scope of competence of the Regional Pharmacovigilance Centers includes:,Anti-smoking products,Medicines for veterinary use,Dressing items presented as conforming to the Pharmacopoeia,Stable blood products,In vitro diagnostic medical devices intended for use by the public,"A, D",pharmacy
"From the following list, what is (are) the correct characteristic(s) regarding Haemophilus influenzae?",It is a commensal of the oropharynx,It is a Gram negative cocci,It may be resistant to ampicillin by production of beta-lactamase,It is demanding in factors X and V,It is sensitive to vancomycin,"A, C, D",pharmacy
"To recognize the antigen, T lymphocytes use a molecular structure called TCR (for T cell receptor).",Possessing extremely variable regions supporting specificity,Coded by genes located on chromosome 6 in humans,Presenting an intracytoplasmic part comprising an ITAM activation motif,Composed of two polypeptide chains,Associated with molecules constituting the CD3 complex,"A, D, E",pharmacy
"Let I0 be the intensity of the incident light, I the intensity of the transmitted light and C the concentration of the solution (in mol.L-1). Which of the following 5 statements regarding absorption spectrophotometry is(are) true?",The transmittance T is given by T = I/I0,The absorbance A is given by A = log(T),Absorbance is proportional to concentration A = kC,The bathochrome effect is the shift towards short wavelengths,The hyperchrome effect is the increase in absorption intensity,"A, C, E",pharmacy
Which of the following is correct?,The wavelength of the radiation emitted by fluorescence is shorter than that of the absorbed radiation,The Beer-Lambert law is verified if the incident radiation is monochromatic,It is possible to determine the pKA of an acid/base couple by spectrophotometry,"In a chemical series, a bathochrome effect corresponds to an increase in the absorption wavelength","In UV-visible spectrophotometry, the absorption of radiation only modifies the rotational energy of the molecule","B, C, D",pharmacy
Which of the following statements regarding spectral methods is(are) correct?,It is possible to measure plasma sodium and potassium by flame photometry,"In flame photometry, the introduction of the sample can be done via a graphite furnace",The hollow cathode lamp used in atomic absorption can be used for all elements,The flame of a flame photometer can reach 5000°C,The determination of an element by flame photometry requires the use of an internal standard,"A, E",pharmacy
Which of the following statements regarding tablets for use in the oral cavity is correct?,Usually uncoated tablets should disintegrate in the mouth,The tablets have a local action,Sublingual tablets should be held under the tongue,Muco-adhesive tablets are one of them,The tablets must be gastro-resistant,"A, B, C, D",pharmacy
Which of the following statements regarding long-acting oral forms is correct?,These are forms particularly suited to active ingredients with a long half-life.,Inert matrices swell after hydration,Hydrophobic matrices can slowly erode in the gastrointestinal tract,Cellulosic derivatives are widely used as excipients for sustained release oral forms.,Their release kinetics are controlled by the disintegration test,"C, D",pharmacy
Which of the following statements regarding hyperlymphocytosis is correct?,"In adults, they are defined by a lymphocyte count greater than 4 G/L","They concern B lymphocytes, CD5+ in cases of chronic lymphocytic leukemia",It is important to appreciate the morphology of the lymphocytes on the blood smear under the microscope,They must be interpreted according to the age of the subject,Most viral lymphocytoses have a monomorphic appearance.,"A, B, C, D",pharmacy
Which of the following regarding Chlamydia trachomatis is (are) correct?,Reticulated bodies are the form of multiplication,Detection of the infectious agent is carried out by gene amplification,It is frequently resistant to cyclins,It may be involved in salpingitis,It is an agent of sexually transmitted infections,"A, B, D, E",pharmacy
Which of the following statements regarding Plasmodium falciparum is correct?,It is responsible for quartan fever,It produces hepatic hypnozoites,It is transmitted by the female Culex,It is sensitive to quinine,It is responsible for serious attacks,"D, E",pharmacy
Which of the following statements about ethanol is true?,Resorption through the digestive mucosa occurs by simple diffusion,"In an empty stomach, the serum peak is reached in 10 to 15 minutes",Less than 10% of the amount absorbed is eliminated unchanged,Ethanol is diluted in body water,"On average, 210 ml of exhaled air contains as much ethanol as 1 ml of blood","A, C, D",pharmacy
Which of the following applies to parenteral nutrition:,"A normal adult needs approximately 55% carbohydrates, 30% fat, and 15% protein.",It is preferred over enteral nutrition thanks to its cost and ease of use.,"If we choose the peripheral route as a route of administration, we must systematically inject heparin as a preventative measure.",Ternary mixtures containing vitamins are packaged in “all-in-one” bags,Lipids in a mixture are very hypertonic,A,pharmacy
Which of the following does not apply to Candida albicans infections:,"These are cosmopolitan, opportunistic and often nosocomial infections.","Maceration, irritation, obesity, pregnancy, diabetes, burns are risk factors",Perlèche is a bilateral cracking of the lip corners,"Auxanogram, chlamydosporulation test, and blastesis test allow one-step identification of C. albicans",Miconazole is used for the local treatment of thrush in immunocompromised patients.,D,pharmacy
Which of the following applies to lymphomas:,It is a malignant pathology of the primary lymphoid organs,The progression of the disease is symmetrical most of the time,Lymph node biopsy showing histology is the test that makes the diagnosis,"Common clinical signs are lymphadenopathy, sweating, fever, significant weight gain and pruritus.",Sternberg cells are typical of non-Hodgkin lymphoma,C,pharmacy
Which of the following statements regarding uric acid is correct:,Hypouricemia is frequently responsible for digestive disorders,"For the basic treatment of hyperuricemia, it is not necessary to combine colchicine with probenecid.","In case of gout, examination of the synovial fluid reveals long birefringent crystals in an envelope, dissolved by uricase",Chronic kidney failure is a common complication of chronic gout,A hyperuricemic patient always suffers from gouty disease,D,pharmacy
"A father has blood group AB+, his wife is A+. This woman's mother was type O+, which blood group will not be found in the descendants of this couple:",A+,A+,O+,AB+,B+,C,pharmacy
"Among the following statements regarding contraindications for beta-blockers, indicate which one(s) is(are) correct:",Asthma,Tachycardia,Severe hypotension,Raynaud's syndrome,Recent hemorrhage,"A, C, D",pharmacy
Which of the following statements about genetics is/are correct:,Cytogenetics and southern blot allow the detection of large anomalies,Nuclease 1 mapping allows qualitative analysis of RNA,"PCR, allowing exponential amplification of DNA, uses Taq polymerase and dNTPs",The southern blot is a DNA-RNA hybridization,The Western blot is a semi-quantitative method,"A, B, C, E",pharmacy
Which of the following statements about HSV viruses is correct?,"They are enveloped double-stranded DNA viruses, having an icosahedral capsid",Latency occurs in the Gasserian ganglia for HSV2,Reactivation in HSV 2 infections is less common than in HSV 1 infections but more severe,The probabilistic treatment for meningoencephalitis is aciclovir,Serious infections caused by this virus are always treated with intravenous antivirals in the immunocompromised.,"A, D, E",pharmacy
Which of the following corresponds to the signs of cholestasis:,Increased conjugated bilirubin,Increased PAL and gammaGT,Major increase in transaminases,TP increase,Increased unconjugated bilirubin,"A, B",pharmacy
"Among the following propositions on the beta-lactam spectrum, check the correct answer(s):",Betalactamins are generally active against streptococci,95% of Staphylococcus aureus are resistant to penicillin G,C3Gs are the standard treatment for Listeria monocytogenes infection,Oxacillin is the standard treatment for MRSA,Escherichia coli is naturally resistant to amoxicillin,"A, B",pharmacy
"Regarding blood transport of respiratory gases, what is the correct answer(s)?",Erythrocyte hemoglobin is more affinity for oxygen than for carbon dioxide,Erythrocyte hemoglobin is more affinity for oxygen than for carbon monoxide,Free hemoglobin participates in blood transport of oxygen,The majority of circulating carbon dioxide is transported in the form of hydrogen carbonate,Hypercapnia reduces the affinity of hemoglobin for oxygen,"A, D, E",pharmacy
"Concerning the biochemical markers of myocardial infarction, find the exact proposition(s).",Myoglobin is a cardio-specific marker,CK-MB increases faster than myoglobin,AST currently remains a marker of choice for the diagnosis of myocardial infarction.,Troponin Ic allows retrospective diagnosis of myocardial infarction,Troponin Ic is a cardio-specific marker,"D, E",pharmacy
"Among the following, indicate which one(s) aggravates digoxin poisoning.",Hyperkalemia,Hypercalcemia,Hyponatremia,Hypercholesterolemia,Hyperuricemia,B,pharmacy
Indicate the exact proposition(s) characterizing type 2 diabetes:,It occurs most often in people over 40 years old.,It is characterized by autoimmune destruction of the pancreas,Fasting blood glucose is greater than 1.26 g/L (7.0 mmol/L) (measured twice),It is mainly determined by genetic factors.,It is often complicated by ketoacidosis,"A, C, D",pharmacy
Which of the following statements regarding tricyclic antidepressant poisoning is correct?,Imipramines are myocardial toxicants,A hypotonic coma is usually observed,The severity of the poisoning is directly linked to the dose absorbed,An anticholinergic syndrome is observed,There is a specific antidotic treatment,"A, C, D",pharmacy
Which of the following molecules is not involved in hemoglobin metabolism:,Alanine,Delta-amino-levulinic acid,Porphobilinogen,Linear tetrapyrrole,Heme,A,pharmacy
Which of these antifungals is not of synthetic origin:,Flucytosine,Griseofulvin,Caspofungine,Ketoconazole,Terbinafine,B,pharmacy
Which of these molecules is a first generation cephalosporin?,Ceftriaxone,Cefamandole,Cefotaxime,Cefazoline,Ceftazidine,D,pharmacy
Which of the following does not apply during an AES (Blood Exposure Accident):,"It is mandatory to carry out the patient's HIV serology, even without their consent.",The percentage of HIV seroconversion after AES is 0.3%,Antiretroviral therapy to be initiated in the event of positive serology of the source patient must be implemented within 4 hours following the AES,"Following an AES, you must report a work accident to a doctor.",All hepatitis contracted following AES are considered occupational diseases.,A,pharmacy
"Which of the following statements is incorrect: During pregnancy, we observe:",An increase in plasma volume,An increase in thyroid hormones,An increase in Vs (sedimentation rate),A change in lipid balance,Often leukopenia,E,pharmacy
"During treatment with erythropoietin (EPO) in chronic renal failure patients, what is (or what are) the element (or elements) that must be monitored?",Hemoglobin concentration,Plasma ferritin,Blood pressure,Transferrin,Uricemia,"A, B, C",pharmacy
"Some of the following characters relate to Candida albicans, indicate which ones?",Budding,Opportunistic species,Keratinophilic species,Possible formation of pseudo-mycelium,Possible agent of deep mycoses,"A, B, D, E",pharmacy
The severity of paracetamol poisoning can be predicted by which of the following parameters?,Plasma concentration measured 4 hours after ingestion,Estimation of the value of the half-life after dosing of plasma paracetamol,Acute intake of a quantity of paracetamol greater than 250 mg/kg in children,Increase in plasma bilirubin,The intensity of miosis,"A, B, C",pharmacy
Which of the following statements regarding beta blockers is (are) true:,They are prescribed as oral inhalation to urgently treat asthma attacks.,They are competitive antagonists of norepinephrine on the beta receptor,They are used as eye drops to treat chronic glaucoma.,They lead to an increase in the biosynthesis of angiotensin II,They induce a positive dromotropic effect,"B, C",pharmacy
"Concerning anti-platelet aggregation treatment, only one of the following propositions is correct. Which ?",It is indicated to prevent post-operative venous thrombosis,It requires biological monitoring,It shortens the life of the pads,It is indicated to prevent recurrence of arterial thrombosis,It stimulates platelet functions,D,pharmacy
Which of the following statements is false? In pure exclusion-diffusion chromatography:,Separation of solutes relies on differences in molecular size,The difference in polarity of solutes influences the retention quantities,Very large molecules have the retention volume of the volume of mobile phase contained in the column.,"We can determine the Molar Mass of a protein, if we have standard proteins.",Adsorption phenomena do not modify retention times,B,pharmacy
What is the name of the reactive and toxic metabolite of paracetamol?,Glutathione,N-hydroxyparacétamol,Mercapturic acid,Gentisic acid,N-acetylparabenzoquinone-imine,E,pharmacy
Which of the following antibiotics has ototoxicity?,Penicillin V,Péfloxacine,Amikacine,Erythromycin,Isoniazid,C,pharmacy
"Among the following statements, indicate which statement(s) are incorrect. Spectrofluorimetry is a technique:",Very sensitive,Applicable to all organic molecules,Usable for quantitative dosages,Not requiring a calibration range,Performed on frozen solutions at low temperature,"B, D, E",pharmacy
"Among the following statements concerning chlorpromazine (LARGACTIL®), indicate which one(s) is(are) correct.",It is a dopamine D2 receptor antagonist,It has central antihistamine properties,It is a derivative of thioxanthene,It is contraindicated in cases of urethro-prostatic disorders,Its association is contraindicated with sultopride (BARNETIL®),"A, B, D",pharmacy
Which of the following infections are usually accompanied by sore throat?,Scarlet fever,Syphilis,Infectious mononucleosis,Tuberculosis,Typhoid,"A, C",pharmacy
Which of the following statements regarding parenteral nutrition preparations is correct?,Nitrogenous solutions have an amino acid composition which can be close to that of serum albumin.,"Nitrogenous preparations can be enriched with Valine, Leucine and Isoleucine",Lipid emulsions can provide 1800 Kcal per liter,Electrolytes and trace elements are added to industrial ternary mixtures just before use for better stability,Carbohydrate solutions usually contain sorbitol,"B, C, D",pharmacy
Patient rights are the subject of precise explanation in several articles of the legislative part of the Public Health Code (CSP). These articles:,Were introduced into the CSP to transpose a recent European directive relating to patients' rights,"Were introduced into the CSP following the publication of the law of August 6, 2004 relating to bio-ethics","Were introduced into the CSP following the publication of the law of August 9, 2004 relating to public health policy","Were, for the most part, already affirmed by other sources of French law","Do not only concern hospitalized patients, but also those treated in outpatient medicine","D, E",pharmacy
Which of the following drugs does not cause miosis in overdose?,Cannabis,Heroin,Ecstasy,Cocaine,LSD,"A, C, D, E",pharmacy
Which of the following enzymes is(are) involved in the esterification of cholesterol?,Acyl-cholesterol acyl-transferase,Hepatic triglyceride lipase,Lecithin cholesterol acyl transferase,Adipocyte lipoprotein lipase,HMG-CoA Reductase,"A, C",pharmacy
Check the false statement. Protein C is:,Synthesized in the liver,Vitamin K dependent,The zymogen of a serine protease,An inhibitor of clotting serine proteases,Activated in the presence of thrombomodulin,D,pharmacy
"Among these anti-tuberculosis drugs, which one is never used in children:",Isoniazid,Rifampicin,Pyrazinamide,Ethambutol,Rifabutine,D,pharmacy
Which of these drugs is positive inotropic:,Disopyramide,Propafénone,Chloroquine,Aténolol,Digoxin,E,pharmacy
"Regarding immunoglobulins, check the correct answer(s):",The majority of immunoglobulins in serum are IgM,IgA migrates to the gamma zone in electrophoresis,IgE intervenes in type 1 hypersensitivity and parasitoses,IgG does not cross the placenta,The half-life of IgG is approximately 21 days.,"C, E",pharmacy
"Regarding rheumatoid arthritis, what is/are the correct answer(s):",It is an autoimmune disease specific to organs (muscles).,It's a connectivity,It affects around 10% of the population and especially women.,"Rheumatoid factors, IgM anti-IgG, sought for diagnosis are very specific for rheumatoid arthritis","Anti-CCP antibodies, detected by ELISA, are very specific","B, E",pharmacy
Which of the following statements regarding congenital immune deficiencies is(are) correct:,Chronic septic granulomatosis is a deficiency of cellular immunity,Bruton's hypogammaglobulinemia is transmitted autosomally.,Gammac deficiency is an X-linked SCID (severe combined immunodeficiency disorder).,Neisseria bacterial infections are increased during complement deficiency,"Treatment of selective IgA deficiency is essentially symptomatic; In general, exogenous immunoglobulins are not administered to the patient.","C, D, E",pharmacy
Which of the following propositions correspond(s) to parasitoses linked to fecal danger:,Giardious,Leishmaniasis,Anguillulose,Oxyurose,Fasciolose,"A, C, E",pharmacy
"Among the following propositions concerning the quality criteria of a method, check the one(s) which is(are) correct(s):",Fidelity is estimated by reproducibility,Intra-lab reproducibility is also called intermediate precision,Correctness evaluates total error,Sensitivity corresponds to the slope of the calibration line,The coefficient of variation allows you to calculate the accuracy of the results,"A, B, D",pharmacy
Which of the following statements regarding medications for hemostasis disorders is/are correct:,"PRADAXA (dabigatran) is a novel oral anticoagulant that is a direct, potent, and reversible factor Xa inhibitor.",The combination of COUMADINE (warfarin) coumarin derivative and Aspirin at an anti-platelet aggregation dose is not recommended.,"Monitoring the effectiveness of a curative treatment with LOVENOX is carried out by measuring the aPTT, heparinemia and a platelet count.",Clopidogrel (PLAVIX) is an antiplatelet agent that irreversibly blocks membrane ADP receptors. It is indicated for the prevention of venous thrombotic complications.,Altepase is a t-PA analogue indicated in acute pulmonary embolism. It works by breaking down plasminogen into plasmin.,"B, E",pharmacy
Which of the following statements about parasitology is/are correct:,The observation of the cystic form of Trichomonas vaginalis on direct examination is sufficient to confirm the diagnosis of Trichomonosis.,"In the evolutionary cycle of Leishmania infantum, we find the promastigote form in female sandflies and the amastigote form in human macrophages.","Infection by Giardia intestinalis can manifest as the Fontan Triad associating hepatomegaly, fever and pain.",Thrombocytopenia and anemia are often found during Plasmodium vivax infection.,"Toxoplasma gondii exists in 3 infective forms: tachyzoite found in biological fluids, bradyzoite found in tissues and sporozoite found in water, litter and soil.","B, D, E",pharmacy
Which of the following regarding Chronic Lymphocytic Leukemia is(are) the correct answer(s)?,Can touch the child,Immunophenotyping makes it possible to establish the Matutes score,Immunophenotyping makes it possible to establish the Sokal score,The smear shows many bare nuclei (Gumprecht shadows),The prognosis is evaluated by the Binet classification,"B, D, E",pharmacy
Which of the following statements about glycopeptides is(are) the correct answer(s)?,Are active on Gram-,Inhibit bacterial wall synthesis,Diffuse well in the CSF,Are usually administered IV,Are the reference treatment for MRSA,"B, D, E",pharmacy
"Among the following statements concerning Taenia saginata taeniasis, indicate which ones are correct.","Characterized, during the invasion phase, by a dry cough",Contracted by consuming undercooked pork,"Is characterized, in the state phase, by blood hypereosinophilia of the order of 4 G/L",Treated with niclosamide (TREDEMINE®),Is confirmed by the discovery of white rings measuring approximately 1.5 to 2 cm long and 0.5 to 1 cm wide,"D, E",pharmacy
Which of the following statements regarding fibrates is correct?,They are used in the treatment of essential hypertriglyceridemia,They expose you to a risk of tendinopathy,Their combination with HMG CoA reductase inhibitors is not recommended.,They can cause myalgia,They are contraindicated in cases of severe hepatic insufficiency,"A, C, D, E",pharmacy
"Which of the following is correct: In the human body, radioactive Potassium is transformed into Calcium. During this disintegration, it forms:",A positron and a neutrino,An electron and an antineutrino,A single electron,A single alpha particle,A single position,B,pharmacy
Which of the following is the mutation responsible for HbS formation in sickle cell disease:,béta6 Glu -> Lys,beta6 Val -> Glu,beta26 Glu -> Val,béta26 Glu -> Lys,beta6 Glu -> Val,E,pharmacy
Which of the following amino acids is not an essential amino acid:,Leucine,Glycine,Phenylalanine,Lysine,Thréonine,B,pharmacy
Which of the following applies to Fasciola hepatica:,"It is a flat, leafy, non-segmented worm from the cestodes group.",It is a parasite with separate sexes.,The intermediate host is the planorb,The infesting form is the metacercarial form,The treatment of distomatosis is based on albendazole,D,pharmacy
Which of the following does not qualify as metabolic syndrome:,Waist circumference > 102 cm in men,Hypertriglyceridemia > 1.50 g/L,HDL-C > 1 g/L,Systolic blood pressure > 130 mmHg,Diastolic blood pressure > 85 mmHg,C,pharmacy
"Among the following statements regarding glucose, indicate which one(s) is(are) correct.",Is filtered by the renal glomerulus,Is reabsorbed by the renal tubule,Is a renal “threshold” substance,Rises during chronic renal failure,Is stored in the body in the form of glycogen,"A, B, C, E",pharmacy
"The term common variable immunodeficiency covers a heterogeneous set of syndromes but which share characteristics, including:","A very early expression in life, in infants",They do not concern immunoglobulins of the IgA class,"They are the consequence of variable functional abnormalities, some of which affect T lymphocyte/B lymphocyte cooperation.",They affect men more frequently than women,They constitute one of the indications for human normal multivalent immunoglobulins,"C, E",pharmacy
"Select the exact statements.During the purification treatment of water intended for human consumption, the coagulation-flocculation stage makes it possible to eliminate ...",Pesticides,Lead,Colloids,Suspended matter,Viruses,"C, D",pharmacy
Which of the following statements is correct? In liquid chromatography:,The efficiency of a column increases as the height of a theoretical plate increases,Compounds can be detected using a mass spectrometer,Cyclodextrin-based columns enable the separation of enantiomers,The resolution between two peaks can be improved by decreasing the column length,The height of a theoretical plateau is a function of the linear speed of the mobile phase,"B, C, E",pharmacy
Which of the following statements regarding spectral methods is(are) correct?,The measuring tanks used in fluorimetry are made of glass.,Flame photometry allows calcium dosage,"In atomic absorption, light radiation is produced by a hollow cathode lamp",The Beer-Lambert law is verified if the solutions are diluted,"In flame photometry, the elements to be measured are vaporized in an oven","C, D",pharmacy
Which of the following statements regarding iron is false?,It is absorbed in iron form or in heme form,It is absorbed as needed,It can be eliminated in the form of ferritin during enterocyte sloughing.,It is absorbed by simple diffusion,It binds to plasma transferrin,D,pharmacy
Which of the following proteins is most specific for the inflammatory response?,Orosomucoid,The transcortine,Transferrin,C-reactive protein (CRP),L'alpha2 macroglobuline,D,pharmacy
Which of the following statements about Pseudomonas aeruginosa is false?,It is a strict aerobic germ,It is a superinfection agent in severe burn victims.,It is a germ that can produce pigments,It can be responsible for bronchial infections during cystic fibrosis.,It is sensitive to aminopenicillins,E,pharmacy
"Regarding malaria, what is(are) the incorrect statement(s):",Plasmodium malariae causes quartan fever,Man infected by male Anopheles bite at nightfall,Plasmodium falciparum is responsible for serious forms called cerebral malaria.,All species of Plasmodium can experience revival phenomena via hypnozoites,Plasmodium vivax is mainly transmitted in Africa while Plasmodium ovale is almost not found in Africa.,"B, D, E",pharmacy
Which of the following statements regarding calcium and phosphorus balance is correct:,Cholecalciferol is metabolized in the liver to calciferol. This is then hydroxylated in the kidney to calcitriol.,PTH is a hypercalcemic and hyperphosphatemic hormone.,"The etiologies of hypercalcemia can be of neoplastic origin (bone metastasis or PTH-like secretion) or non-neoplastic (end-stage chronic renal failure, vitamin D intoxication, prolonged immobilization, sarcoidosis or hypothyroidism).","Metabolic acidosis, whatever the cause, is accompanied by signs of hypocalcemia by an increase in the ionized fraction of blood calcium and therefore by an increase in the filtered calcium load.","A drop in serum calcium leads to an increase in circulating PTH and, conversely, any increase in ionized serum calcium slows the secretion and release of PTH.","A, E",pharmacy
Which of the following statements regarding toxicology is/are correct:,The reduction of ethylene glycol by ADH and ALDH leads to the formation of calcium oxalate crystals which precipitate in the kidney.,"4 Methylpyrazole, a competitive inhibitor of ADH, is an antidote for methanol poisoning used only intravenously.",DIGIBIND is only administered in cases of life-threatening digitalis poisoning.,"In paracetamol poisoning, N acetyl-p-benzoquinoneimine is reduced by GSH to mercapturic acid eliminated through the urine.","During trichlorethylene poisoning, correction of rhythm disturbances with adrenaline and propranolol is an emergency.","B, C, D",pharmacy
